#,Name,Category,Type,What It Does,Gap / Why Now,Price,Revenue Model,Build Time,Tech Stack,Viral Potential,Effort,Status,Notes
1,MacTap,Fun / Novelty,Mac App,Turn MacBook into drum pad. Tap different zones for different sounds. Force-sensitive via accelerometer. Lid angle as pitch bend.,SlapMac proved accelerometer apps go viral ($5K in 3 days). Open-source accel libraries exist. Only 2 apps in this space.,$5 one-time,One-time + sound pack upsells ($2-3),1 week,"Swift, IOKit HID, AVAudioEngine, menu bar",Very High,Low,Not Started,Sell direct - no App Store 30% cut
2,DropSort,Local AI Utility,Mac App,Watches ~/Downloads. AI reads filename + content (OCR for images/PDFs) and auto-moves to right folder. Learns your folder structure.,"Hazel is $42 with complex rules. Sparkle sends data to cloud. Floxtop is new/limited. No simple 'just works' AI organizer.",$8 one-time,One-time,2 weeks,"Foundation Models, Vision (OCR), FSEvents, SwiftUI, menu bar",Medium,Low,Not Started,macOS 26+ requirement. Zero ongoing cost.
3,Hush,Local AI Utility,Mac App,"One-click meeting recorder. Captures system audio, transcribes in real-time, summarizes into action items. 100% on-device.","Otter.ai ($16.99/mo) sends audio to cloud. No local-only meeting transcriber with summarization. Healthcare/legal need this.",$12 one-time,One-time,3 weeks,"ScreenCaptureKit, Speech framework, Foundation Models, menu bar",Low-Medium,Medium,Not Started,$0 infrastructure cost. Privacy is the killer feature.
4,ClipBrain,Local AI Utility,Mac App,"AI clipboard manager. Stores everything you copy. Semantic search by meaning, not exact text. Auto-categorizes: links, code, addresses, images.","Paste is $3.99/mo subscription. Maccy has no AI. Cai is open-source/early. Clippr not launched yet. Clear 'missing middle'.",$8 one-time,One-time,2 weeks,"NaturalLanguage (embeddings), Vision (OCR), NSPasteboard, SwiftUI, menu bar",Low,Low,Not Started,First mover with polish wins. Clipboard managers have high retention.
5,ReviewPilot,Developer SaaS,Web SaaS,"Monitors App Store + Play Store reviews. AI categorizes (bug/feature/praise). Slack/email alerts. Reply from dashboard. Sentiment tracking.","AppFollow $120+/mo, AppBot $49+/mo. Nothing under $10/mo for indie devs. Massive feature bloat in existing tools.",$5-15/mo,Recurring MRR,4 weeks,"App Store Connect API, Google Play API, LLM, Slack/Discord webhooks",Low,Medium,Not Started,"At $5/mo, 2000 customers = $120K ARR"
6,BookmarkBrain,Local AI Utility,Mac App,"Native Mac bookmark + knowledge base. Save URLs/PDFs/notes. Auto-summarizes and categorizes on-device. Semantic search across everything.","Every bookmark manager is a browser extension. Karakeep is self-hosted (friction). No native Mac app with semantic search.",$29 one-time,One-time,3 weeks,"Foundation Models, NaturalLanguage (embeddings), SwiftUI, SwiftData",Low,Medium,Not Started,High one-time price justified by depth of features.
7,NameDrop,Local AI Utility,Mac App,"Drop files, AI reads content via OCR, suggests meaningful names. 'Receipt from Amazon - March 2026.pdf' instead of 'Document-3.pdf'.","NameQuick ($49) requires API keys. No fully on-device intelligent batch renamer exists.",$12 one-time,One-time,2 weeks,"Foundation Models, Vision (OCR), drag-and-drop UI, SwiftUI",Medium,Low,Not Started,Universal pain point. Very simple to build.
8,InboxZero,Local AI Utility,Mac App,"Connects to IMAP. Reads emails locally. Foundation Models summarizes into daily digest: action items, important threads, ignorable stuff.","No Mac email tool does local-only AI summarization. Canary Mail is cloud-based. Privacy-focused users want this.",$10 one-time,One-time,3 weeks,"Foundation Models, IMAP (MailCore2 or native), SwiftUI, menu bar",Low,Medium,Not Started,Privacy angle is strong selling point.
9,VoiceJournal,AI / Health,iOS + Mac App,"Tap to talk. Speech framework transcribes. Foundation Models structures into journal entry. Auto-detects mood, tracks patterns over time.","Rosebud raised $6M but is cloud-based ($12.99/mo). No local voice-first journal. Mood tracking market = $1.5B growing to $5.7B.",$8 one-time or $3.99/mo,One-time or Subscription,3 weeks,"Speech framework, Foundation Models, HealthKit, WidgetKit, SwiftData",Medium,Medium,Not Started,Can correlate with Apple Health data for unique insights.
10,DevXP,Fun / Productivity,Mac App,"Gamified menu bar for developers. Earn XP for commits, PRs, focus sessions. Character levels up. Streak tracking, daily quests.","Zero gamified productivity apps for Mac menu bar. Nothing targets developers. Habitica/Forest are mobile-only.",Free / $5/mo or $39 lifetime,Recurring or Lifetime,4 weeks,"GitKit (local git monitoring), SwiftUI, menu bar, SpriteKit (pixel art)",Medium,Medium,Not Started,Natural virality in dev communities (Twitter/X screenshots).
11,ShipNotes,Developer SaaS,Web SaaS,"Connect GitHub repo. AI reads commits/PRs since last tag. Generates polished App Store / Play Store 'What's New' text.","No tool generates consumer-facing app store release notes from git history. All changelog tools target web SaaS.",$9/mo or $79/yr,Recurring MRR,3 weeks,"GitHub API, LLM, web dashboard",Low,Medium,Not Started,500K+ iOS/Android developers as TAM.
12,ReviewRadar,Developer SaaS,Web SaaS,"Simple review monitor for indie devs. Reviews in Slack/Discord. AI categorizes. Reply from dashboard. Weekly sentiment summary.","Same gap as ReviewPilot but even simpler. $5/mo vs competitors at $50+/mo. Instatus proved simple tools hit $40K MRR.",$5/mo,Recurring MRR,4 weeks,"App Store Connect API, Google Play API, Slack webhooks, LLM",Low,Medium,Not Started,Could merge with ReviewPilot as single product.
13,EnvVault,Developer Tool,Mac App + CLI,"Visual .env file editor. Share configs without committing secrets. Team sync via encrypted link.","Doppler is $20/user/mo (enterprise). 90% of indie devs use raw .env files. SheetBest does $18K MRR with similar simplicity.",Free + $5/mo pro,Freemium,4 weeks,"Swift CLI, encryption, SwiftUI Mac app, CloudKit or custom sync",Medium,Medium,Not Started,Natural developer virality. CLI-first approach.
14,BetaKit,Developer SaaS,Web SaaS,"TestFlight + waitlist manager. Manage beta programs, invite codes, graduated rollout, structured feedback collection from testers.","No waitlist tool targets app launches. GetWaitlist ($15/mo) is generic. Nothing integrates with TestFlight.",$15/mo,Recurring MRR,5 weeks,"App Store Connect API, TestFlight API, web dashboard, iOS SDK",Low,Medium-High,Not Started,Niche but high-value customers (app developers).
